,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
eng ENG,DF,26-065,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
sct SCO,FW,17-195,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
eng ENG,MF,18-107,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
es ESP,GK,36-142,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
eng ENG,DF,18-335,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
eng ENG,GK,19-264,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
nl NED,"DF,MF",21-156,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
ie IRL,GK,24-183,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
br BRA,MF,26-286,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
sct SCO,DF,19-298,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
eng ENG,DF,22-111,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
